venta_id;fecha;producto_id;cliente_id;tienda_id;vendedor_id;cantidad;precio_unitario_x;costo_unitario_x;descuento_porcentaje;venta_neta;costo_total;utilidad;producto;categoria;costo_unitario_y;precio_unitario_y;cliente;ciudad_cliente;segmento;tienda;ciudad_tienda;region;vendedor;tienda_id_vendedor;anio;mes;nombre_mes;periodo
1;2025-03-07;25;311;4;9;5;978.48;682;0;4892.4;3410;1482.4;Plancha cabello;Belleza;682;978.48;Valeria Castro;Trujillo;Premium;Tienda Trujillo Real;Trujillo;La Libertad;Renato Ramírez;4;2025;3;March;2025-03
2;2023-12-05;11;437;5;10;5;519.38;363;15;2207.37;1815;392.37;Juego de sábanas;Hogar;363;519.38;Carlos Torres;Arequipa;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Renato Castro;5;2023;12;December;2023-12
3;2025-04-25;11;259;3;8;5;519.38;363;5;2467.05;1815;652.05;Juego de sábanas;Hogar;363;519.38;Lucía García;Huancayo;Frecuente;Tienda Arequipa Mall;Arequipa;Arequipa;José García;3;2025;4;April;2025-04
4;2024-09-17;5;76;4;4;2;69.39;47;0;138.78;94;44.78;Smartwatch;Tecnología;47;69.39;Jorge Castro;Trujillo;Frecuente;Tienda Trujillo Real;Trujillo;La Libertad;Fernando Mendoza;4;2024;9;September;2024-09
5;2023-09-12;13;76;1;11;3;770.23;523;10;2079.62;1569;510.62;Polo;Moda;523;770.23;Jorge Castro;Trujillo;Frecuente;Tienda Huancayo Centro;Huancayo;Junín;José Rojas;1;2023;9;September;2023-09
6;2023-08-23;17;181;1;1;1;439.51;310;0;439.51;310;129.51;Pelota;Deportes;310;439.51;Alex Rojas;Arequipa;Premium;Tienda Huancayo Centro;Huancayo;Junín;José Torres;1;2023;8;August;2023-08
7;2024-10-20;6;421;5;15;2;125.45;96;10;225.81;192;33.81;Parlante;Tecnología;96;125.45;María Mendoza;Huancayo;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Rosa Quispe;5;2024;10;October;2024-10
8;2025-08-18;16;172;3;3;1;142.24;105;15;120.9;105;15.9;Mochila;Moda;105;142.24;Jorge Ramírez;Lima;Frecuente;Tienda Arequipa Mall;Arequipa;Arequipa;José Mendoza;3;2025;8;August;2025-08
9;2024-07-12;23;386;5;10;4;1081.01;680;5;4107.84;2720;1387.84;Crema facial;Belleza;680;1081.01;Valeria Castro;Trujillo;Frecuente;Tienda Cusco Plaza;Cusco;Cusco;Renato Castro;5;2024;7;July;2024-07
10;2024-09-27;1;443;2;2;3;242.37;174;0;727.11;522;205.11;Audífonos;Tecnología;174;242.37;Carlos Quispe;Huancayo;Premium;Tienda Lima Norte;Lima;Lima;Miguel Torres;2;2024;9;September;2024-09
11;2025-07-26;1;365;2;2;1;242.37;174;15;206.01;174;32.01;Audífonos;Tecnología;174;242.37;Camila Quispe;Arequipa;Premium;Tienda Lima Norte;Lima;Lima;Miguel Torres;2;2025;7;July;2025-07
